documentId,originaldocumentname,size,fileSize
7ad87038-a286-4705-a6de-afbc62e14d86,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
1760f81d-0eee-4af6-8e30-24bdf03f63d5,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
a74d47f4-f6a3-4c98-b0a5-1a059e64e3d8,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
e60ea0a1-71b1-4e66-8509-5ee23ec775fa,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
9f3ff899-e040-429b-a371-8e97939a831b,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
7aa9dd76-deb7-44fd-af32-14a911222900,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
41507c91-d974-4a54-bd38-dd664207a104,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
b59bc198-ce7c-47c5-a70f-73c7ef5be7c8,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
0c990cff-445b-4b13-86a3-0f6f948e9549,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
eb0dbdc0-7675-4706-af8a-90c4f9b3e095,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
57f3b90b-39ae-4128-b5f5-05ec244b51b1,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
e76b39e2-ecb0-4517-8a10-7213fb853026,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
ed2b90ac-ed0d-4f0b-bfd6-ffb90a7f0e6b,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
a5dc5450-f4d0-4953-abf7-40c810a96344,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
e8aee4c3-4193-4f27-9d46-f8baa5a1d9eb,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
fd47f846-3134-4d25-a3ba-2c9b79d097f5,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
87bc660b-738d-45ee-8808-ca492e9dc2cb,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
2a00ff82-c768-4847-bfb2-297dcc8c4faa,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
53d48fef-932b-4cb0-b331-e628cf86d418,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
062d99be-0739-4eb6-9253-caab5b14b0f3,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
b05acbc6-ec8e-4312-ac0f-3ad2b487866c,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
141c2d61-56b9-4252-a081-bfd72e5c3a43,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
241bef99-1fa1-45d6-a06c-23ae7c3453c8,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
a3ad6928-6def-453c-a0fb-0ae923ee4268,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
c0231452-b206-4566-847a-04c3c5572f76,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
0135e9ea-988c-415e-9652-7f697397f273,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
d51a3ca8-bfe9-42e7-95cd-30a4db2541e8,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
81e9ff46-d8ac-417d-a8cb-1d08f8b9a5aa,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
402dc7d0-e430-4732-9336-43a438093177,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
40c77ad2-5cff-412d-8862-afaa31ee063d,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
30ced9ad-cf77-46ff-ac7b-c20fe08714c4,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
3f6bc099-c45d-495e-9ed1-b90e4a1d08d7,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
6e6f3790-dfc1-4646-b7dc-3483b04bffc7,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
2c0b1729-3582-42f9-9525-b4eaf4404b9e,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
56da1b81-21c1-4866-a736-c2a94fe37c51,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
a1c942b6-044a-4b8c-9bcb-498aac3403b2,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
049466c7-3eb6-49cd-9138-8d25b9ab108b,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
db0602eb-4d1c-404d-ba50-d4830cbe3365,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
b9378ac9-e080-469b-a835-041a821107ac,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
54e03496-0a06-4bd5-bad5-5603ed07413f,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
0c8eb147-6206-43e2-b2d4-28c879f9cd48,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
a48d2d98-9cf4-44e1-a698-83be8109e92e,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
2e933d30-412c-4f9d-b9d3-42577e450aa0,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
e6ccb4d0-18f4-4543-91bb-b6d34a6cb3d2,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
3b016ad0-7a40-4682-b48c-ec13a2d35a63,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
f5660fed-c296-4742-9afe-89222ec6aa11,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
76059437-69aa-4ab2-9084-6fd70b3f34e3,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
0c3a5911-2d8e-4372-824b-ac21d16a9133,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
5ec2f609-d876-4f8e-b41b-4aedfa30fb96,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
bcfc27d5-8194-4e36-abbf-1545d7c03373,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
30666a92-cbcd-4df1-81d0-ecdcf299db16,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
a81748a8-43f8-4752-a8ba-7d60757575e9,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
a528e42d-fba1-4383-8bc7-5828ec0376cf,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
6441bb52-df06-40bb-b5ef-77aaf1b1cc15,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
4400fa61-2042-47c9-945e-207327330024,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
192af99b-4a5f-4af8-a391-143ed18c75e2,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
e3b3211b-1faf-405e-8fb4-cfa28dbeba66,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
0197ce0c-e4e0-431c-ac35-912d51576013,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
e99e1c5a-d93a-435b-b38f-372e0936c649,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
4691764f-d406-4bdc-8993-83ef87262fa5,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
f35529e8-e120-4647-b37a-574f5a097bf1,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
e2efca82-c947-4f31-848c-1f4dd93f2e59,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
be824c40-5c7e-4428-bc4b-51993ec3931c,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
1d73bbad-896b-4098-a27c-9a0886e73e60,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
9f88f56d-dccc-41db-9410-dbd795dc0340,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
73f2fd31-8c9d-4ea3-95b5-6d87b5a9f7bd,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
c491041c-dca6-4ecf-aabb-1cd4a2ee6b13,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
c3efd65f-7c85-4ee7-a7a3-5d3e396b55ad,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
9f5fd970-fcbc-49f9-96d7-0af92d42dc03,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
94227058-11e2-45cd-b1ee-db51bc54e58b,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
3c89d760-3922-4482-a92d-90600b66685b,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
8eab962d-58d7-4159-80aa-11f1150aff47,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
7920488a-637e-4440-a391-f6a1a7233782,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
32c00420-2daf-43f8-9246-3f9f3454957d,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
5379a8bf-2e97-4ec5-bf5e-4638b379b980,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
2d586388-ccb6-4843-83a7-56adef5c26e8,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
d0c78acd-cfa3-4342-8fe1-9aaaadf2a89e,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
e874eb1d-83f0-4d06-8a22-13543633ce79,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
196b59dd-17c9-42a5-9b55-709bfe8ab614,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
10a75337-0c81-433b-adca-b3b7cec8932d,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
60ec94d5-6e39-4d9c-9e3f-7b5f071941ff,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
a1c08cf6-ce0f-444d-b89f-008d09fab1dc,DOC_ASSEMBLY_EM_DMStore15MB.docx,14169117,15MB
3277d036-dcfe-400d-b0bf-af02fa55b9f1,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
b56e628f-b2e3-4c0a-83b1-6fd7561b4176,DOC_ASSEMBLY_EM_DMStore15MB.docx,14169117,15MB
fbebce95-a159-4b2b-b37c-59ad0ebd088b,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
69d0bfb6-2023-4c5f-aa91-892736d7a310,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
d01ae465-59f6-4228-b4d9-2e428eeccd49,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
b9d1f727-107e-4eb7-8026-3f5113679fb0,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
db2d9dbe-9264-44ff-963a-ed59035c7f19,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
6e179041-8aad-4900-8ced-52f99cc758ea,DOC_ASSEMBLY_EM_DMStore15MB.docx,14169117,15MB
9019a105-fec9-4e80-953c-6f9d49d0de44,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
9a9791a5-12ed-45ee-8223-366c7f71496f,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
ddafced6-1a67-4a00-8716-1002763ed432,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
0d925232-f15c-461b-98ea-be6d7b41feda,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
e93edd4f-57fa-4a0b-807e-538cb980990f,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
e71eb0df-0ad8-44fd-b804-d7ce8a5d1d55,DOC_ASSEMBLY_EM_DMStore0.5MB.docx,481808,0.5MB
8668c78b-7e02-428c-a0e9-ab465601421c,DOC_ASSEMBLY_EM_DMStore1MB.docx,1026736,1MB
